id,bc,f1_type,f1_start,f1_stop,f1_init,f1_final,f2_type,f2_start,f2_stop,f2_init,f2_final
BoilerNoise-bc02-s2-076,2,0,0,0,0,0.0,2,404,672,0,0.26504228
BoilerNoise-bc02-s2-011,2,0,0,0,0,0.0,1,459,672,0,0.069046175
BoilerNoise-bc02-s2-035,2,0,0,0,0,0.0,1,431,672,0,0.032680087
BoilerNoise-bc02-s2-009,2,0,0,0,0,0.0,1,376,672,0,0.399973851
BoilerNoise-bc02-s2-012,2,0,0,0,0,0.0,1,362,672,0,0.639882417
BoilerNoise-bc02-s2-100,2,0,0,0,0,0.0,1,403,672,0,0.100635683
BoilerNoise-bc02-s2-041,2,0,0,0,0,0.0,2,622,672,0,0.120835991
BoilerNoise-bc02-s2-087,2,0,0,0,0,0.0,1,581,672,0,0.292834894
BoilerNoise-bc02-s2-089,2,0,0,0,0,0.0,1,516,672,0,0.514698935
BoilerNoise-bc02-s2-070,2,0,0,0,0,0.0,1,531,672,0,0.473282422
BoilerNoise-bc02-s2-091,2,0,0,0,0,0.0,1,589,672,0,0.421337118
BoilerNoise-bc02-s2-063,2,0,0,0,0,0.0,1,625,672,0,0.043194229
BoilerNoise-bc03-s0-000,3,0,0,0,0,0.0,0,0,0,0,0.0
BoilerNoise-bc03-s2-070,3,0,0,0,0,0.0,1,152,672,0,0.221842484
BoilerNoise-bc03-s2-019,3,0,0,0,0,0.0,2,82,672,0,0.137427188
BoilerNoise-bc03-s2-038,3,0,0,0,0,0.0,1,62,672,0,0.098138982
BoilerNoise-bc03-s2-014,3,0,0,0,0,0.0,2,76,672,0,0.314976705
BoilerNoise-bc03-s2-059,3,0,0,0,0,0.0,1,120,672,0,0.399497899
BoilerNoise-bc03-s2-091,3,0,0,0,0,0.0,2,137,672,0,0.018831245
BoilerNoise-bc03-s2-018,3,0,0,0,0,0.0,2,220,672,0,0.015144997
BoilerNoise-bc03-s2-003,3,0,0,0,0,0.0,2,293,672,0,0.046366301
BoilerNoise-bc03-s2-055,3,0,0,0,0,0.0,2,212,672,0,0.044950567
BoilerNoise-bc03-s2-089,3,0,0,0,0,0.0,2,277,672,0,0.057451201
BoilerNoise-bc03-s2-073,3,0,0,0,0,0.0,1,213,672,0,0.364382983
BoilerNoise-bc03-s2-100,3,0,0,0,0,0.0,2,189,672,0,0.163720076
BoilerNoise-bc03-s2-063,3,0,0,0,0,0.0,1,428,672,0,0.284792461
BoilerNoise-bc03-s2-065,3,0,0,0,0,0.0,1,441,672,0,0.313081408
BoilerNoise-bc03-s2-045,3,0,0,0,0,0.0,1,439,672,0,0.189904899
BoilerNoise-bc03-s2-036,3,0,0,0,0,0.0,1,391,672,0,0.018741152
BoilerNoise-bc03-s2-017,3,0,0,0,0,0.0,2,429,672,0,0.638987448
BoilerNoise-bc03-s2-095,3,0,0,0,0,0.0,2,474,672,0,0.384434698
BoilerNoise-bc03-s2-034,3,0,0,0,0,0.0,1,592,672,0,0.039114283
BoilerNoise-bc03-s2-026,3,0,0,0,0,0.0,1,587,672,0,0.311951415
BoilerNoise-bc03-s2-077,3,0,0,0,0,0.0,2,580,672,0,0.486046444
BoilerNoise-bc03-s2-097,3,0,0,0,0,0.0,1,640,672,0,0.722393513
BoilerNoise-bc03-s2-087,3,0,0,0,0,0.0,1,662,672,0,0.081037835
BoilerNoise-bc03-s2-004,3,0,0,0,0,0.0,1,619,672,0,0.181465328
BoilerNoise-bc04-s0-000,4,0,0,0,0,0.0,0,0,0,0,0.0
BoilerNoise-bc04-s2-099,4,0,0,0,0,0.0,1,165,672,0,0.444953097
BoilerNoise-bc04-s2-031,4,0,0,0,0,0.0,2,65,672,0,0.220845852
BoilerNoise-bc04-s2-011,4,0,0,0,0,0.0,2,38,672,0,0.487050523
BoilerNoise-bc04-s2-026,4,0,0,0,0,0.0,2,126,672,0,0.080689353
BoilerNoise-bc04-s2-013,4,0,0,0,0,0.0,2,14,672,0,0.09294739
BoilerNoise-bc04-s2-039,4,0,0,0,0,0.0,2,69,672,0,0.070651103
BoilerNoise-bc04-s2-100,4,0,0,0,0,0.0,1,254,672,0,0.172942341
BoilerNoise-bc04-s2-028,4,0,0,0,0,0.0,2,212,672,0,0.122909283
BoilerNoise-bc04-s2-082,4,0,0,0,0,0.0,1,190,672,0,0.193990085
BoilerNoise-bc04-s2-059,4,0,0,0,0,0.0,2,234,672,0,0.099105362
BoilerNoise-bc04-s2-009,4,0,0,0,0,0.0,2,312,672,0,0.396470994
BoilerNoise-bc04-s2-053,4,0,0,0,0,0.0,1,278,672,0,0.059308789
BoilerNoise-bc04-s2-006,4,0,0,0,0,0.0,2,370,672,0,0.181290428
BoilerNoise-bc04-s2-050,4,0,0,0,0,0.0,2,503,672,0,0.108305632
BoilerNoise-bc04-s2-070,4,0,0,0,0,0.0,2,374,672,0,0.184858426
BoilerNoise-bc04-s2-001,4,0,0,0,0,0.0,2,340,672,0,0.112808317
BoilerNoise-bc04-s2-015,4,0,0,0,0,0.0,1,410,672,0,0.106959109
BoilerNoise-bc04-s2-017,4,0,0,0,0,0.0,1,377,672,0,0.283593572
BoilerNoise-bc04-s2-094,4,0,0,0,0,0.0,2,521,672,0,0.170249508
BoilerNoise-bc04-s2-083,4,0,0,0,0,0.0,2,533,672,0,0.254730098
BoilerNoise-bc04-s2-019,4,0,0,0,0,0.0,2,625,672,0,0.215442391
BoilerNoise-bc04-s2-074,4,0,0,0,0,0.0,2,550,672,0,0.33711434
BoilerNoise-bc04-s2-037,4,0,0,0,0,0.0,2,571,672,0,0.117352753
BoilerNoise-bc04-s2-023,4,0,0,0,0,0.0,1,519,672,0,0.601839986
