id,bc,f1_type,f1_start,f1_stop,f1_init,f1_final
Substation-bc00-s1-088,0,1,88,672,0,0.91
Substation-bc00-s1-089,0,1,507,672,0,0.14
Substation-bc00-s1-090,0,1,419,672,0,0.1
Substation-bc00-s1-091,0,1,197,672,0,0.05
Substation-bc00-s1-092,0,1,415,672,0,0.25
Substation-bc00-s1-093,0,1,101,672,0,0.75
Substation-bc00-s1-094,0,1,245,672,0,0.15
Substation-bc00-s1-095,0,1,376,672,0,0.06
Substation-bc00-s1-096,0,1,95,672,0,0.1
Substation-bc00-s1-097,0,1,444,672,0,0.04
Substation-bc00-s1-098,0,1,552,672,0,0.45
Substation-bc00-s1-099,0,1,596,672,0,0.06
Substation-bc01-s0-000,1,0,0,0,0,0.0
Substation-bc01-s1-000,1,1,105,672,0,0.22
Substation-bc01-s1-001,1,1,199,672,0,0.06
Substation-bc01-s1-002,1,1,304,672,0,0.4
Substation-bc01-s1-003,1,1,98,672,0,0.2
Substation-bc01-s1-004,1,1,470,672,0,0.34
Substation-bc01-s1-005,1,1,127,672,0,0.23
Substation-bc01-s1-006,1,1,630,672,0,0.38
Substation-bc01-s1-007,1,1,302,672,0,0.05
Substation-bc01-s1-008,1,1,574,672,0,0.04
Substation-bc01-s1-009,1,1,5,672,0,0.25
Substation-bc01-s1-010,1,1,453,672,0,0.33
Substation-bc01-s1-011,1,1,365,672,0,0.15
Substation-bc01-s1-012,1,1,589,672,0,0.22
Substation-bc01-s1-013,1,1,297,672,0,0.45
Substation-bc01-s1-014,1,1,317,672,0,0.13
Substation-bc01-s1-015,1,1,287,672,0,0.34
Substation-bc01-s1-016,1,1,321,672,0,0.37
Substation-bc01-s1-017,1,1,650,672,0,0.17
Substation-bc01-s1-018,1,1,221,672,0,0.19
Substation-bc01-s1-019,1,1,33,672,0,0.48
Substation-bc01-s1-020,1,1,522,672,0,0.45
Substation-bc01-s1-021,1,1,601,672,0,0.23
Substation-bc01-s1-022,1,1,622,672,0,0.08
Substation-bc01-s1-023,1,1,319,672,0,0.17
Substation-bc01-s1-024,1,1,9,672,0,0.19
Substation-bc01-s1-025,1,1,383,672,0,0.3
Substation-bc01-s1-026,1,1,497,672,0,0.06
Substation-bc01-s1-027,1,1,108,672,0,0.42
Substation-bc01-s1-028,1,1,555,672,0,0.49
Substation-bc01-s1-029,1,1,453,672,0,0.22
Substation-bc01-s1-030,1,1,510,672,0,0.56
Substation-bc01-s1-031,1,1,391,672,0,0.53
Substation-bc01-s1-032,1,1,623,672,0,0.84
Substation-bc01-s1-033,1,1,537,672,0,0.18
Substation-bc01-s1-034,1,1,318,672,0,0.63
Substation-bc01-s1-035,1,1,667,672,0,0.29
Substation-bc01-s1-036,1,1,351,672,0,0.3
Substation-bc01-s1-037,1,1,347,672,0,0.54
Substation-bc01-s1-038,1,1,17,672,0,0.17
Substation-bc01-s1-039,1,1,664,672,0,0.01
Substation-bc01-s1-040,1,1,116,672,0,0.16
Substation-bc01-s1-041,1,1,351,672,0,0.15
Substation-bc01-s1-042,1,1,23,672,0,0.13
Substation-bc01-s1-043,1,1,655,672,0,0.2
Substation-bc01-s1-044,1,1,46,672,0,0.02
Substation-bc01-s1-045,1,1,613,672,0,0.2
Substation-bc01-s1-046,1,1,370,672,0,0.06
Substation-bc01-s1-047,1,1,360,672,0,0.24
Substation-bc01-s1-048,1,1,566,672,0,0.58
Substation-bc01-s1-049,1,1,453,672,0,0.29
Substation-bc01-s1-050,1,1,57,672,0,0.47
Substation-bc01-s1-051,1,1,203,672,0,0.28
Substation-bc01-s1-052,1,1,239,672,0,0.04
Substation-bc01-s1-053,1,1,419,672,0,0.15
Substation-bc01-s1-054,1,1,360,672,0,0.17
Substation-bc01-s1-055,1,1,661,672,0,0.36
Substation-bc01-s1-056,1,1,307,672,0,0.03
Substation-bc01-s1-057,1,1,255,672,0,0.29
Substation-bc01-s1-058,1,1,573,672,0,0.1
Substation-bc01-s1-059,1,1,582,672,0,0.32
Substation-bc01-s1-060,1,1,196,672,0,0.34
Substation-bc01-s1-061,1,1,0,672,0,0.16
Substation-bc01-s1-062,1,1,355,672,0,0.22
Substation-bc01-s1-063,1,1,163,672,0,0.39
Substation-bc01-s1-064,1,1,126,672,0,0.28
Substation-bc01-s1-065,1,1,255,672,0,0.35
Substation-bc01-s1-066,1,1,457,672,0,0.69
Substation-bc01-s1-067,1,1,92,672,0,0.03
Substation-bc01-s1-068,1,1,27,672,0,0.42
Substation-bc01-s1-069,1,1,282,672,0,0.24
Substation-bc01-s1-070,1,1,14,672,0,0.46
Substation-bc01-s1-071,1,1,263,672,0,0.18
Substation-bc01-s1-072,1,1,603,672,0,0.21
Substation-bc01-s1-073,1,1,364,672,0,0.24
Substation-bc01-s1-074,1,1,62,672,0,0.87
Substation-bc01-s1-075,1,1,649,672,0,0.76
Substation-bc01-s1-076,1,1,30,672,0,0.16
Substation-bc01-s1-077,1,1,432,672,0,0.15
Substation-bc01-s1-078,1,1,445,672,0,0.28
Substation-bc01-s1-079,1,1,83,672,0,0.0
Substation-bc01-s1-080,1,1,637,672,0,0.27
Substation-bc01-s1-081,1,1,636,672,0,0.16
Substation-bc01-s1-082,1,1,108,672,0,0.18
Substation-bc01-s1-083,1,1,323,672,0,0.01
Substation-bc01-s1-084,1,1,123,672,0,0.04
Substation-bc01-s1-085,1,1,77,672,0,0.48
Substation-bc01-s1-086,1,1,42,672,0,0.27
Substation-bc01-s1-087,1,1,336,672,0,0.23
Substation-bc01-s1-088,1,1,538,672,0,0.34
Substation-bc01-s1-089,1,1,112,672,0,0.01
Substation-bc01-s1-090,1,1,406,672,0,0.16
Substation-bc01-s1-091,1,1,486,672,0,0.13
Substation-bc01-s1-092,1,1,166,672,0,0.12
Substation-bc01-s1-093,1,1,600,672,0,0.28
Substation-bc01-s1-094,1,1,581,672,0,0.15
Substation-bc01-s1-095,1,1,407,672,0,0.02
Substation-bc01-s1-096,1,1,581,672,0,0.44
Substation-bc01-s1-097,1,1,543,672,0,0.26
Substation-bc01-s1-098,1,1,102,672,0,0.65
Substation-bc01-s1-099,1,1,571,672,0,0.14
Substation-bc02-s0-000,2,0,0,0,0,0.0
Substation-bc02-s1-000,2,1,145,672,0,0.03
Substation-bc02-s1-001,2,1,601,672,0,0.01
Substation-bc02-s1-002,2,1,111,672,0,0.2
Substation-bc02-s1-003,2,1,73,672,0,0.46
Substation-bc02-s1-004,2,1,104,672,0,0.24
Substation-bc02-s1-005,2,1,393,672,0,0.27
Substation-bc02-s1-006,2,1,290,672,0,0.04
Substation-bc02-s1-007,2,1,239,672,0,0.3
Substation-bc02-s1-008,2,1,635,672,0,0.47
Substation-bc02-s1-009,2,1,4,672,0,0.49
Substation-bc02-s1-010,2,1,519,672,0,0.63
Substation-bc02-s1-011,2,1,451,672,0,0.04
Substation-bc02-s1-012,2,1,247,672,0,0.34
Substation-bc02-s1-013,2,1,264,672,0,0.78
Substation-bc02-s1-014,2,1,408,672,0,0.43
Substation-bc02-s1-015,2,1,29,672,0,0.65
Substation-bc02-s1-016,2,1,304,672,0,0.2
Substation-bc02-s1-017,2,1,201,672,0,0.38
Substation-bc02-s1-018,2,1,12,672,0,0.0
Substation-bc02-s1-019,2,1,366,672,0,0.26
Substation-bc02-s1-020,2,1,426,672,0,0.27
Substation-bc02-s1-021,2,1,310,672,0,0.05
Substation-bc02-s1-022,2,1,560,672,0,0.16
Substation-bc02-s1-023,2,1,454,672,0,0.03
Substation-bc02-s1-024,2,1,244,672,0,0.58
Substation-bc02-s1-025,2,1,100,672,0,0.43
Substation-bc02-s1-026,2,1,119,672,0,0.2
Substation-bc02-s1-027,2,1,337,672,0,0.15
Substation-bc02-s1-028,2,1,491,672,0,0.54
Substation-bc02-s1-029,2,1,186,672,0,0.01
Substation-bc02-s1-030,2,1,379,672,0,0.05
Substation-bc02-s1-031,2,1,70,672,0,0.16
Substation-bc02-s1-032,2,1,392,672,0,0.04
Substation-bc02-s1-033,2,1,44,672,0,0.14
Substation-bc02-s1-034,2,1,131,672,0,0.17
Substation-bc02-s1-035,2,1,589,672,0,0.41
Substation-bc02-s1-036,2,1,347,672,0,0.13
Substation-bc02-s1-037,2,1,97,672,0,0.11
Substation-bc02-s1-038,2,1,150,672,0,0.06
Substation-bc02-s1-039,2,1,196,672,0,0.31
Substation-bc02-s1-040,2,1,519,672,0,0.33
Substation-bc02-s1-041,2,1,20,672,0,0.34
Substation-bc02-s1-042,2,1,636,672,0,0.41
Substation-bc02-s1-043,2,1,504,672,0,0.07
Substation-bc02-s1-044,2,1,391,672,0,0.37
Substation-bc02-s1-045,2,1,579,672,0,0.45
Substation-bc02-s1-046,2,1,583,672,0,0.13
Substation-bc02-s1-047,2,1,308,672,0,0.27
Substation-bc02-s1-048,2,1,209,672,0,0.07
Substation-bc02-s1-049,2,1,347,672,0,0.48
Substation-bc02-s1-050,2,1,270,672,0,0.56
Substation-bc02-s1-051,2,1,290,672,0,0.04
Substation-bc02-s1-052,2,1,406,672,0,0.05
Substation-bc02-s1-053,2,1,463,672,0,0.85
Substation-bc02-s1-054,2,1,409,672,0,0.02
Substation-bc02-s1-055,2,1,397,672,0,0.04
Substation-bc02-s1-056,2,1,564,672,0,0.03
Substation-bc02-s1-057,2,1,128,672,0,0.19
Substation-bc02-s1-058,2,1,155,672,0,0.82
Substation-bc02-s1-059,2,1,99,672,0,0.31
Substation-bc02-s1-060,2,1,186,672,0,0.22
Substation-bc02-s1-061,2,1,546,672,0,0.26
Substation-bc02-s1-062,2,1,402,672,0,0.34
Substation-bc02-s1-063,2,1,518,672,0,0.23
Substation-bc02-s1-064,2,1,203,672,0,0.48
Substation-bc02-s1-065,2,1,368,672,0,0.11
Substation-bc02-s1-066,2,1,638,672,0,0.02
Substation-bc02-s1-067,2,1,358,672,0,0.4
Substation-bc02-s1-068,2,1,340,672,0,0.04
Substation-bc02-s1-069,2,1,57,672,0,0.3
Substation-bc02-s1-070,2,1,249,672,0,0.31
Substation-bc02-s1-071,2,1,482,672,0,0.4
Substation-bc02-s1-072,2,1,585,672,0,0.19
Substation-bc02-s1-073,2,1,643,672,0,0.52
Substation-bc02-s1-074,2,1,387,672,0,0.53
Substation-bc02-s1-075,2,1,450,672,0,0.08
Substation-bc02-s1-076,2,1,414,672,0,0.03
Substation-bc02-s1-077,2,1,513,672,0,0.26
Substation-bc02-s1-078,2,1,61,672,0,0.17
Substation-bc02-s1-079,2,1,408,672,0,0.27
Substation-bc02-s1-080,2,1,295,672,0,0.14
Substation-bc02-s1-081,2,1,182,672,0,0.28
Substation-bc02-s1-082,2,1,579,672,0,0.04
Substation-bc02-s1-083,2,1,553,672,0,0.47
Substation-bc02-s1-084,2,1,359,672,0,0.38
Substation-bc02-s1-085,2,1,645,672,0,0.31
Substation-bc02-s1-086,2,1,341,672,0,0.41
Substation-bc02-s1-087,2,1,285,672,0,0.55
Substation-bc02-s1-088,2,1,161,672,0,0.0
Substation-bc02-s1-089,2,1,649,672,0,0.44
Substation-bc02-s1-090,2,1,144,672,0,0.45
Substation-bc02-s1-091,2,1,646,672,0,0.29
Substation-bc02-s1-092,2,1,586,672,0,0.1
Substation-bc02-s1-093,2,1,180,672,0,0.44
Substation-bc02-s1-094,2,1,1,672,0,0.54
Substation-bc02-s1-095,2,1,587,672,0,0.13
Substation-bc02-s1-096,2,1,213,672,0,0.21
Substation-bc02-s1-097,2,1,534,672,0,0.04
Substation-bc02-s1-098,2,1,659,672,0,0.07
Substation-bc02-s1-099,2,1,412,672,0,0.12
Substation-bc03-s0-000,3,0,0,0,0,0.0
Substation-bc03-s1-000,3,1,648,672,0,0.33
Substation-bc03-s1-001,3,1,150,672,0,0.54
Substation-bc03-s1-002,3,1,383,672,0,0.34
Substation-bc03-s1-003,3,1,651,672,0,0.24
Substation-bc03-s1-004,3,1,329,672,0,0.18
Substation-bc03-s1-005,3,1,73,672,0,0.2
Substation-bc03-s1-006,3,1,648,672,0,0.42
Substation-bc03-s1-007,3,1,543,672,0,0.33
Substation-bc03-s1-008,3,1,558,672,0,0.34
Substation-bc03-s1-009,3,1,596,672,0,0.15
Substation-bc03-s1-010,3,1,202,672,0,0.26
Substation-bc03-s1-011,3,1,600,672,0,0.11
Substation-bc03-s1-012,3,1,244,672,0,0.15
Substation-bc03-s1-013,3,1,85,672,0,0.0
Substation-bc03-s1-014,3,1,124,672,0,0.02
Substation-bc03-s1-015,3,1,109,672,0,0.08
Substation-bc03-s1-016,3,1,407,672,0,0.11
Substation-bc03-s1-017,3,1,662,672,0,0.05
Substation-bc03-s1-018,3,1,297,672,0,0.17
Substation-bc03-s1-019,3,1,567,672,0,0.11
Substation-bc03-s1-020,3,1,289,672,0,0.18
Substation-bc03-s1-021,3,1,379,672,0,0.19
Substation-bc03-s1-022,3,1,255,672,0,0.23
Substation-bc03-s1-023,3,1,389,672,0,0.29
Substation-bc03-s1-024,3,1,381,672,0,0.31
Substation-bc03-s1-025,3,1,202,672,0,0.16
Substation-bc03-s1-026,3,1,234,672,0,0.15
Substation-bc03-s1-027,3,1,671,672,0,0.23
Substation-bc03-s1-028,3,1,381,672,0,0.01
Substation-bc03-s1-029,3,1,165,672,0,0.09
Substation-bc03-s1-030,3,1,503,672,0,0.03
Substation-bc03-s1-031,3,1,50,672,0,0.21
Substation-bc03-s1-032,3,1,568,672,0,0.21
Substation-bc03-s1-033,3,1,223,672,0,0.28
Substation-bc03-s1-034,3,1,472,672,0,0.19
Substation-bc03-s1-035,3,1,141,672,0,0.19
Substation-bc03-s1-036,3,1,438,672,0,0.07
Substation-bc03-s1-037,3,1,573,672,0,0.21
Substation-bc03-s1-038,3,1,136,672,0,0.08
Substation-bc03-s1-039,3,1,315,672,0,0.14
Substation-bc03-s1-040,3,1,493,672,0,0.15
Substation-bc03-s1-041,3,1,665,672,0,0.35
Substation-bc03-s1-042,3,1,302,672,0,0.64
Substation-bc03-s1-043,3,1,423,672,0,0.35
Substation-bc03-s1-044,3,1,460,672,0,0.17
Substation-bc03-s1-045,3,1,518,672,0,0.41
Substation-bc03-s1-046,3,1,300,672,0,0.09
Substation-bc03-s1-047,3,1,491,672,0,0.24
Substation-bc03-s1-048,3,1,651,672,0,0.82
Substation-bc03-s1-049,3,1,476,672,0,0.0
Substation-bc03-s1-050,3,1,598,672,0,0.07
Substation-bc03-s1-051,3,1,235,672,0,0.28
Substation-bc03-s1-052,3,1,648,672,0,0.41
Substation-bc03-s1-053,3,1,275,672,0,0.18
Substation-bc03-s1-054,3,1,292,672,0,0.07
Substation-bc03-s1-055,3,1,538,672,0,0.34
Substation-bc03-s1-056,3,1,381,672,0,0.51
Substation-bc03-s1-057,3,1,116,672,0,0.08
Substation-bc03-s1-058,3,1,600,672,0,0.39
Substation-bc03-s1-059,3,1,6,672,0,0.17
Substation-bc03-s1-060,3,1,632,672,0,0.66
Substation-bc03-s1-061,3,1,506,672,0,0.16
Substation-bc03-s1-062,3,1,656,672,0,0.09
Substation-bc03-s1-063,3,1,107,672,0,0.0
Substation-bc03-s1-064,3,1,20,672,0,0.21
Substation-bc03-s1-065,3,1,483,672,0,0.4
Substation-bc03-s1-066,3,1,342,672,0,0.35
Substation-bc03-s1-067,3,1,82,672,0,0.41
Substation-bc03-s1-068,3,1,278,672,0,0.46
Substation-bc03-s1-069,3,1,252,672,0,0.44
Substation-bc03-s1-070,3,1,484,672,0,0.13
Substation-bc03-s1-071,3,1,400,672,0,0.11
Substation-bc03-s1-072,3,1,520,672,0,0.03
Substation-bc03-s1-073,3,1,83,672,0,0.37
Substation-bc03-s1-074,3,1,275,672,0,0.14
Substation-bc03-s1-075,3,1,2,672,0,0.08
Substation-bc03-s1-076,3,1,380,672,0,0.31
Substation-bc03-s1-077,3,1,83,672,0,0.41
Substation-bc03-s1-078,3,1,37,672,0,0.44
Substation-bc03-s1-079,3,1,256,672,0,0.17
Substation-bc03-s1-080,3,1,623,672,0,0.31
Substation-bc03-s1-081,3,1,474,672,0,0.32
Substation-bc03-s1-082,3,1,423,672,0,0.4
Substation-bc03-s1-083,3,1,63,672,0,0.23
Substation-bc03-s1-084,3,1,344,672,0,0.26
Substation-bc03-s1-085,3,1,307,672,0,0.57
Substation-bc03-s1-086,3,1,588,672,0,0.26
Substation-bc03-s1-087,3,1,183,672,0,0.37
Substation-bc03-s1-088,3,1,226,672,0,0.07
Substation-bc03-s1-089,3,1,622,672,0,0.46
Substation-bc03-s1-090,3,1,545,672,0,0.23
Substation-bc03-s1-091,3,1,485,672,0,0.04
Substation-bc03-s1-092,3,1,238,672,0,0.02
Substation-bc03-s1-093,3,1,58,672,0,0.11
Substation-bc03-s1-094,3,1,66,672,0,0.14
Substation-bc03-s1-095,3,1,609,672,0,0.06
Substation-bc03-s1-096,3,1,127,672,0,0.29
Substation-bc03-s1-097,3,1,613,672,0,0.08
Substation-bc03-s1-098,3,1,570,672,0,0.31
Substation-bc03-s1-099,3,1,413,672,0,0.12
Substation-bc04-s0-000,4,0,0,0,0,0.0
Substation-bc04-s1-000,4,1,124,672,0,0.2
Substation-bc04-s1-001,4,1,195,672,0,0.04
Substation-bc04-s1-002,4,1,446,672,0,0.1
Substation-bc04-s1-003,4,1,191,672,0,0.28
Substation-bc04-s1-004,4,1,416,672,0,0.37
Substation-bc04-s1-005,4,1,657,672,0,0.42
Substation-bc04-s1-006,4,1,351,672,0,0.15
Substation-bc04-s1-007,4,1,576,672,0,0.28
Substation-bc04-s1-008,4,1,481,672,0,0.26
Substation-bc04-s1-009,4,1,381,672,0,0.09
Substation-bc04-s1-010,4,1,609,672,0,0.43
Substation-bc04-s1-011,4,1,206,672,0,0.01
Substation-bc04-s1-012,4,1,17,672,0,0.61
Substation-bc04-s1-013,4,1,480,672,0,0.26
Substation-bc04-s1-014,4,1,24,672,0,0.05
Substation-bc04-s1-015,4,1,633,672,0,0.03
Substation-bc04-s1-016,4,1,427,672,0,0.05
Substation-bc04-s1-017,4,1,509,672,0,0.31
Substation-bc04-s1-018,4,1,184,672,0,0.18
Substation-bc04-s1-019,4,1,211,672,0,0.3
Substation-bc04-s1-020,4,1,669,672,0,0.52
Substation-bc04-s1-021,4,1,594,672,0,0.04
Substation-bc04-s1-022,4,1,321,672,0,0.02
Substation-bc04-s1-023,4,1,342,672,0,0.18
Substation-bc04-s1-024,4,1,19,672,0,0.14
Substation-bc04-s1-025,4,1,251,672,0,0.36
Substation-bc04-s1-026,4,1,583,672,0,0.25
Substation-bc04-s1-027,4,1,231,672,0,0.04
Substation-bc04-s1-028,4,1,209,672,0,0.13
Substation-bc04-s1-029,4,1,244,672,0,0.31
Substation-bc04-s1-030,4,1,390,672,0,0.05
Substation-bc04-s1-031,4,1,573,672,0,0.09
Substation-bc04-s1-032,4,1,506,672,0,0.33
Substation-bc04-s1-033,4,1,103,672,0,0.16
Substation-bc04-s1-034,4,1,335,672,0,0.53
Substation-bc04-s1-035,4,1,130,672,0,0.3
Substation-bc04-s1-036,4,1,65,672,0,0.23
Substation-bc04-s1-037,4,1,529,672,0,0.06
Substation-bc04-s1-038,4,1,224,672,0,0.24
Substation-bc04-s1-039,4,1,220,672,0,0.23
Substation-bc04-s1-040,4,1,645,672,0,0.41
Substation-bc04-s1-041,4,1,531,672,0,0.16
Substation-bc04-s1-042,4,1,472,672,0,0.16
Substation-bc04-s1-043,4,1,159,672,0,0.33
Substation-bc04-s1-044,4,1,447,672,0,0.4
Substation-bc04-s1-045,4,1,418,672,0,0.15
Substation-bc04-s1-046,4,1,68,672,0,0.17
Substation-bc04-s1-047,4,1,154,672,0,0.25
Substation-bc04-s1-048,4,1,583,672,0,0.08
Substation-bc04-s1-049,4,1,349,672,0,0.03
Substation-bc04-s1-050,4,1,233,672,0,0.65
Substation-bc04-s1-051,4,1,637,672,0,0.17
Substation-bc04-s1-052,4,1,343,672,0,0.22
Substation-bc04-s1-053,4,1,137,672,0,0.16
Substation-bc04-s1-054,4,1,385,672,0,0.26
Substation-bc04-s1-055,4,1,639,672,0,0.19
Substation-bc04-s1-056,4,1,485,672,0,0.14
Substation-bc04-s1-057,4,1,297,672,0,0.09
Substation-bc04-s1-058,4,1,487,672,0,0.02
Substation-bc04-s1-059,4,1,448,672,0,0.09
Substation-bc04-s1-060,4,1,409,672,0,0.53
Substation-bc04-s1-061,4,1,492,672,0,0.13
Substation-bc04-s1-062,4,1,50,672,0,0.34
Substation-bc04-s1-063,4,1,522,672,0,0.25
Substation-bc04-s1-064,4,1,179,672,0,0.16
Substation-bc04-s1-065,4,1,659,672,0,0.63
Substation-bc04-s1-066,4,1,608,672,0,0.17
Substation-bc04-s1-067,4,1,227,672,0,0.13
Substation-bc04-s1-068,4,1,103,672,0,0.26
Substation-bc04-s1-069,4,1,312,672,0,0.11
Substation-bc04-s1-070,4,1,109,672,0,0.25
Substation-bc04-s1-071,4,1,432,672,0,0.21
Substation-bc04-s1-072,4,1,211,672,0,0.03
Substation-bc04-s1-073,4,1,68,672,0,0.68
Substation-bc04-s1-074,4,1,253,672,0,0.21
Substation-bc04-s1-075,4,1,671,672,0,0.1
Substation-bc04-s1-076,4,1,59,672,0,0.07
Substation-bc04-s1-077,4,1,75,672,0,0.1
Substation-bc04-s1-078,4,1,294,672,0,0.56
Substation-bc04-s1-079,4,1,596,672,0,0.29
Substation-bc04-s1-080,4,1,601,672,0,0.37
Substation-bc04-s1-081,4,1,587,672,0,0.15
Substation-bc04-s1-082,4,1,316,672,0,0.39
Substation-bc04-s1-083,4,1,534,672,0,0.06
Substation-bc04-s1-084,4,1,319,672,0,0.02
Substation-bc04-s1-085,4,1,187,672,0,0.25
Substation-bc04-s1-086,4,1,379,672,0,0.12
Substation-bc04-s1-087,4,1,125,672,0,0.46
Substation-bc04-s1-088,4,1,434,672,0,0.15
Substation-bc04-s1-089,4,1,476,672,0,0.44
Substation-bc04-s1-090,4,1,192,672,0,0.14
Substation-bc04-s1-091,4,1,110,672,0,0.31
Substation-bc04-s1-092,4,1,175,672,0,0.01
Substation-bc04-s1-093,4,1,445,672,0,0.16
Substation-bc04-s1-094,4,1,533,672,0,0.01
Substation-bc04-s1-095,4,1,299,672,0,0.3
Substation-bc04-s1-096,4,1,655,672,0,0.07
Substation-bc04-s1-097,4,1,289,672,0,0.03
Substation-bc04-s1-098,4,1,343,672,0,0.17
Substation-bc04-s1-099,4,1,403,672,0,0.2
Substation-bc05-s0-000,5,0,0,0,0,0.0
Substation-bc05-s1-000,5,1,245,672,0,0.62
Substation-bc05-s1-001,5,1,564,672,0,0.12
Substation-bc05-s1-002,5,1,513,672,0,0.28
Substation-bc05-s1-003,5,1,105,672,0,0.01
Substation-bc05-s1-004,5,1,165,672,0,0.15
Substation-bc05-s1-005,5,1,57,672,0,0.11
Substation-bc05-s1-006,5,1,525,672,0,0.18
Substation-bc05-s1-007,5,1,431,672,0,0.01
Substation-bc05-s1-008,5,1,483,672,0,0.49
Substation-bc05-s1-009,5,1,353,672,0,0.15
