id;bc;G_f_type;G_f_start;G_f_stop;G_f_init;G_f_final;eta_f_type;eta_f_start;eta_f_stop;eta_f_init;eta_f_final
BoilerNoise-bc0-s1-021;0;1;43;672;0;0.23423251;0;0;0;0;0
BoilerNoise-bc0-s1-022;0;2;163;672;0;0.105009524;0;0;0;0;0
BoilerNoise-bc0-s1-023;0;2;241;672;0;0.173281566;0;0;0;0;0
BoilerNoise-bc0-s1-024;0;1;252;672;0;0.263266805;0;0;0;0;0
BoilerNoise-bc0-s1-025;0;1;297;672;0;0.28152604;0;0;0;0;0
BoilerNoise-bc0-s1-026;0;2;441;672;0;0.140325354;0;0;0;0;0
BoilerNoise-bc0-s1-027;0;2;517;672;0;0.145055522;0;0;0;0;0
BoilerNoise-bc0-s1-028;0;2;43;672;0;0.085143621;0;0;0;0;0
BoilerNoise-bc0-s1-029;0;2;613;672;0;0.319634951;0;0;0;0;0
BoilerNoise-bc0-s1-030;0;2;273;672;0;0.045723624;0;0;0;0;0
BoilerNoise-bc0-s1-031;0;1;78;672;0;0.279946192;0;0;0;0;0
BoilerNoise-bc0-s1-032;0;2;146;672;0;0.201288103;0;0;0;0;0
BoilerNoise-bc0-s1-033;0;1;622;672;0;0.017162386;0;0;0;0;0
BoilerNoise-bc0-s1-034;0;2;365;672;0;0.565216782;0;0;0;0;0
BoilerNoise-bc0-s1-035;0;1;348;672;0;0.305039335;0;0;0;0;0
BoilerNoise-bc0-s1-036;0;1;510;672;0;0.006417061;0;0;0;0;0
BoilerNoise-bc0-s1-037;0;2;547;672;0;0.130922644;0;0;0;0;0
BoilerNoise-bc0-s1-038;0;2;380;672;0;0.274427107;0;0;0;0;0
BoilerNoise-bc0-s1-039;0;2;34;672;0;0.258296058;0;0;0;0;0
BoilerNoise-bc0-s1-040;0;1;342;672;0;0.115428332;0;0;0;0;0
BoilerNoise-bc0-s1-041;0;2;641;672;0;0.111745758;0;0;0;0;0
BoilerNoise-bc0-s1-042;0;1;601;672;0;0.243559567;0;0;0;0;0
BoilerNoise-bc0-s1-043;0;1;514;672;0;0.128539951;0;0;0;0;0
BoilerNoise-bc0-s1-044;0;2;365;672;0;0.2767966;0;0;0;0;0
BoilerNoise-bc0-s1-045;0;1;550;672;0;0.545637682;0;0;0;0;0
BoilerNoise-bc0-s1-046;0;2;461;672;0;0.402817197;0;0;0;0;0
BoilerNoise-bc0-s1-047;0;1;198;672;0;0.338460217;0;0;0;0;0
BoilerNoise-bc0-s1-048;0;1;216;672;0;0.404745716;0;0;0;0;0
BoilerNoise-bc0-s1-049;0;2;231;672;0;0.515106584;0;0;0;0;0
BoilerNoise-bc0-s1-050;0;2;361;672;0;0.264798547;0;0;0;0;0
BoilerNoise-bc0-s1-051;0;2;63;672;0;0.114200552;0;0;0;0;0
BoilerNoise-bc0-s1-052;0;2;607;672;0;0.42833645;0;0;0;0;0
BoilerNoise-bc0-s1-053;0;2;54;672;0;0.099615337;0;0;0;0;0
BoilerNoise-bc0-s1-054;0;1;29;672;0;0.430218759;0;0;0;0;0
BoilerNoise-bc0-s1-055;0;2;153;672;0;0.210524865;0;0;0;0;0
BoilerNoise-bc0-s1-056;0;2;313;672;0;0.010449721;0;0;0;0;0
BoilerNoise-bc0-s1-057;0;1;249;672;0;0.082457639;0;0;0;0;0
BoilerNoise-bc0-s1-058;0;1;164;672;0;0.357604186;0;0;0;0;0
BoilerNoise-bc0-s1-059;0;1;633;672;0;0.097122839;0;0;0;0;0
BoilerNoise-bc0-s1-060;0;1;354;672;0;0.458764055;0;0;0;0;0
BoilerNoise-bc0-s1-061;0;1;480;672;0;0.336754258;0;0;0;0;0
BoilerNoise-bc0-s1-062;0;2;257;672;0;0.420316502;0;0;0;0;0
BoilerNoise-bc0-s1-063;0;2;312;672;0;0.414128492;0;0;0;0;0
BoilerNoise-bc0-s1-064;0;1;38;672;0;0.124896382;0;0;0;0;0
BoilerNoise-bc0-s1-065;0;2;447;672;0;0.171427761;0;0;0;0;0
BoilerNoise-bc0-s1-066;0;2;395;672;0;0.543656767;0;0;0;0;0
BoilerNoise-bc0-s1-067;0;2;341;672;0;0.122785588;0;0;0;0;0
BoilerNoise-bc0-s1-068;0;1;561;672;0;0.073518754;0;0;0;0;0
BoilerNoise-bc0-s1-069;0;2;77;672;0;0.400391158;0;0;0;0;0
BoilerNoise-bc0-s1-070;0;2;671;672;0;0.047594696;0;0;0;0;0
BoilerNoise-bc0-s1-071;0;2;170;672;0;0.432347023;0;0;0;0;0
BoilerNoise-bc0-s1-072;0;2;173;672;0;0.256742437;0;0;0;0;0
BoilerNoise-bc0-s1-073;0;1;534;672;0;0.205504333;0;0;0;0;0
BoilerNoise-bc0-s1-074;0;1;539;672;0;0.120416502;0;0;0;0;0
BoilerNoise-bc0-s1-075;0;1;632;672;0;0.124476422;0;0;0;0;0
BoilerNoise-bc0-s1-076;0;2;61;672;0;0.937771154;0;0;0;0;0
BoilerNoise-bc0-s1-077;0;1;507;672;0;0.324957324;0;0;0;0;0
BoilerNoise-bc0-s1-078;0;2;614;672;0;0.003840447;0;0;0;0;0
BoilerNoise-bc0-s1-079;0;2;653;672;0;0.391013975;0;0;0;0;0
BoilerNoise-bc0-s1-080;0;1;131;672;0;0.10867078;0;0;0;0;0
BoilerNoise-bc0-s1-081;0;1;201;672;0;0.350909263;0;0;0;0;0
BoilerNoise-bc0-s1-082;0;2;429;672;0;0.235378164;0;0;0;0;0
BoilerNoise-bc0-s1-083;0;1;218;672;0;0.147622284;0;0;0;0;0
BoilerNoise-bc0-s1-084;0;1;81;672;0;0.426604865;0;0;0;0;0
BoilerNoise-bc0-s1-085;0;2;230;672;0;0.203468089;0;0;0;0;0
BoilerNoise-bc0-s1-086;0;2;280;672;0;0.293050192;0;0;0;0;0
BoilerNoise-bc0-s1-087;0;2;669;672;0;0.114770993;0;0;0;0;0
BoilerNoise-bc0-s1-088;0;2;360;672;0;0.277594072;0;0;0;0;0
BoilerNoise-bc0-s1-089;0;2;256;672;0;0.230943805;0;0;0;0;0
BoilerNoise-bc0-s1-090;0;2;147;672;0;0.278950992;0;0;0;0;0
BoilerNoise-bc0-s1-091;0;2;82;672;0;0.137386005;0;0;0;0;0
BoilerNoise-bc0-s1-092;0;2;360;672;0;0.38422107;0;0;0;0;0
BoilerNoise-bc0-s1-093;0;2;524;672;0;0.135273599;0;0;0;0;0
BoilerNoise-bc0-s1-094;0;2;507;672;0;0.43300189;0;0;0;0;0
BoilerNoise-bc0-s1-095;0;2;12;672;0;0.154814659;0;0;0;0;0
BoilerNoise-bc0-s1-096;0;2;157;672;0;0.302660369;0;0;0;0;0
BoilerNoise-bc0-s1-097;0;2;112;672;0;0.265380536;0;0;0;0;0
BoilerNoise-bc0-s1-098;0;2;202;672;0;0.386106076;0;0;0;0;0
BoilerNoise-bc0-s1-099;0;1;646;672;0;0.146374678;0;0;0;0;0
BoilerNoise-bc0-s1-100;0;1;297;672;0;0.013320499;0;0;0;0;0
BoilerNoise-bc0-s2-000;0;0;0;0;0;0;1;54;672;0;0.238938963
BoilerNoise-bc0-s2-001;0;0;0;0;0;0;1;396;672;0;0.071851539
BoilerNoise-bc0-s2-002;0;0;0;0;0;0;1;76;672;0;0.551952396
BoilerNoise-bc0-s2-003;0;0;0;0;0;0;1;369;672;0;0.241317922
BoilerNoise-bc0-s2-004;0;0;0;0;0;0;1;651;672;0;0.387281099
BoilerNoise-bc0-s2-005;0;0;0;0;0;0;1;541;672;0;0.023826708
BoilerNoise-bc0-s2-006;0;0;0;0;0;0;1;40;672;0;0.515433226
BoilerNoise-bc0-s2-007;0;0;0;0;0;0;1;312;672;0;0.436036937
BoilerNoise-bc0-s2-008;0;0;0;0;0;0;1;607;672;0;0.10640455
BoilerNoise-bc0-s2-009;0;0;0;0;0;0;1;465;672;0;0.323897073
BoilerNoise-bc0-s2-010;0;0;0;0;0;0;1;276;672;0;0.420667029
BoilerNoise-bc0-s2-011;0;0;0;0;0;0;2;461;672;0;0.210200596
BoilerNoise-bc0-s2-012;0;0;0;0;0;0;1;360;672;0;0.0923835
BoilerNoise-bc0-s2-013;0;0;0;0;0;0;1;251;672;0;0.224656292
BoilerNoise-bc0-s2-014;0;0;0;0;0;0;2;333;672;0;0.339669186
BoilerNoise-bc0-s2-015;0;0;0;0;0;0;2;255;672;0;0.157660368
BoilerNoise-bc0-s2-016;0;0;0;0;0;0;2;49;672;0;0.371814219
BoilerNoise-bc0-s2-017;0;0;0;0;0;0;2;478;672;0;0.159544022
BoilerNoise-bc0-s2-018;0;0;0;0;0;0;2;644;672;0;0.268855715
BoilerNoise-bc0-s2-019;0;0;0;0;0;0;2;11;672;0;0.176236992
BoilerNoise-bc0-s2-020;0;0;0;0;0;0;2;56;672;0;0.115816987
BoilerNoise-bc0-s2-021;0;0;0;0;0;0;2;607;672;0;0.425679015
BoilerNoise-bc0-s2-022;0;0;0;0;0;0;1;477;672;0;0.068686831
BoilerNoise-bc0-s2-023;0;0;0;0;0;0;2;269;672;0;0.764770879
BoilerNoise-bc0-s2-024;0;0;0;0;0;0;1;605;672;0;0.499070829
BoilerNoise-bc0-s2-025;0;0;0;0;0;0;2;538;672;0;0.201103531
BoilerNoise-bc0-s2-026;0;0;0;0;0;0;2;1;672;0;0.275543608
BoilerNoise-bc0-s2-027;0;0;0;0;0;0;1;418;672;0;0.126890277
BoilerNoise-bc0-s2-028;0;0;0;0;0;0;1;334;672;0;0.755592553
BoilerNoise-bc0-s2-029;0;0;0;0;0;0;2;538;672;0;0.224218767
BoilerNoise-bc0-s2-030;0;0;0;0;0;0;2;302;672;0;0.359859626
BoilerNoise-bc0-s2-031;0;0;0;0;0;0;1;373;672;0;0.113355393
BoilerNoise-bc0-s2-032;0;0;0;0;0;0;2;178;672;0;0.109294939
BoilerNoise-bc0-s2-033;0;0;0;0;0;0;2;357;672;0;0.223750869
BoilerNoise-bc0-s2-034;0;0;0;0;0;0;2;157;672;0;0.389175246
BoilerNoise-bc0-s2-035;0;0;0;0;0;0;2;366;672;0;0.175966349
BoilerNoise-bc0-s2-036;0;0;0;0;0;0;2;264;672;0;0.225974144
BoilerNoise-bc0-s2-037;0;0;0;0;0;0;1;61;672;0;0.018034532
BoilerNoise-bc0-s2-038;0;0;0;0;0;0;1;581;672;0;0.104320634
BoilerNoise-bc0-s2-039;0;0;0;0;0;0;2;485;672;0;0.065582619
BoilerNoise-bc0-s2-040;0;0;0;0;0;0;2;114;672;0;0.191627133
BoilerNoise-bc0-s2-041;0;0;0;0;0;0;2;268;672;0;0.277460685
BoilerNoise-bc0-s2-042;0;0;0;0;0;0;2;361;672;0;0.386851409
BoilerNoise-bc0-s2-043;0;0;0;0;0;0;2;318;672;0;0.393828175
BoilerNoise-bc0-s2-044;0;0;0;0;0;0;2;89;672;0;0.146922642
BoilerNoise-bc0-s2-045;0;0;0;0;0;0;1;478;672;0;0.237367951
BoilerNoise-bc0-s2-046;0;0;0;0;0;0;2;523;672;0;0.220818246
BoilerNoise-bc0-s2-047;0;0;0;0;0;0;1;385;672;0;0.548584981
BoilerNoise-bc0-s2-048;0;0;0;0;0;0;1;107;672;0;0.269522933
BoilerNoise-bc0-s2-049;0;0;0;0;0;0;2;584;672;0;0.111263135
BoilerNoise-bc0-s2-050;0;0;0;0;0;0;2;338;672;0;0.541529698
BoilerNoise-bc0-s2-051;0;0;0;0;0;0;2;67;672;0;0.033877419
BoilerNoise-bc0-s2-052;0;0;0;0;0;0;2;634;672;0;0.163926556
BoilerNoise-bc0-s2-053;0;0;0;0;0;0;1;594;672;0;0.323000453
BoilerNoise-bc0-s2-054;0;0;0;0;0;0;2;157;672;0;0.153135636
BoilerNoise-bc0-s2-055;0;0;0;0;0;0;1;428;672;0;0.027966916
BoilerNoise-bc0-s2-056;0;0;0;0;0;0;1;23;672;0;0.055393251
BoilerNoise-bc0-s2-057;0;0;0;0;0;0;1;83;672;0;0.294048731
BoilerNoise-bc0-s2-058;0;0;0;0;0;0;1;366;672;0;0.142004502
BoilerNoise-bc0-s2-059;0;0;0;0;0;0;1;48;672;0;0.297815947
BoilerNoise-bc0-s2-060;0;0;0;0;0;0;1;254;672;0;0.038189514
BoilerNoise-bc0-s2-061;0;0;0;0;0;0;1;517;672;0;0.311804044
BoilerNoise-bc0-s2-062;0;0;0;0;0;0;1;599;672;0;0.001945138
BoilerNoise-bc0-s2-063;0;0;0;0;0;0;1;570;672;0;0.455793692
BoilerNoise-bc0-s2-064;0;0;0;0;0;0;2;369;672;0;0.150099083
BoilerNoise-bc0-s2-065;0;0;0;0;0;0;2;249;672;0;0.243677814
BoilerNoise-bc0-s2-066;0;0;0;0;0;0;1;579;672;0;0.000798534
BoilerNoise-bc0-s2-067;0;0;0;0;0;0;1;157;672;0;0.420784444
BoilerNoise-bc0-s2-068;0;0;0;0;0;0;2;307;672;0;0.004779573
BoilerNoise-bc0-s2-069;0;0;0;0;0;0;1;568;672;0;0.415274687
BoilerNoise-bc0-s2-070;0;0;0;0;0;0;1;484;672;0;0.576862762
BoilerNoise-bc0-s2-071;0;0;0;0;0;0;1;18;672;0;0.143828835
BoilerNoise-bc0-s2-072;0;0;0;0;0;0;2;399;672;0;0.760125609
BoilerNoise-bc0-s2-073;0;0;0;0;0;0;1;34;672;0;0.3874633
BoilerNoise-bc0-s2-074;0;0;0;0;0;0;2;351;672;0;0.073395315
BoilerNoise-bc0-s2-075;0;0;0;0;0;0;2;439;672;0;0.103265368
BoilerNoise-bc0-s2-076;0;0;0;0;0;0;1;120;672;0;0.45735745
BoilerNoise-bc0-s2-077;0;0;0;0;0;0;1;517;672;0;0.104489065
BoilerNoise-bc0-s2-078;0;0;0;0;0;0;2;180;672;0;0.095083359
BoilerNoise-bc0-s2-079;0;0;0;0;0;0;1;458;672;0;0.656377609
BoilerNoise-bc0-s2-080;0;0;0;0;0;0;2;664;672;0;0.394251919
BoilerNoise-bc0-s2-081;0;0;0;0;0;0;2;504;672;0;0.233037264
BoilerNoise-bc0-s2-082;0;0;0;0;0;0;2;49;672;0;0.06317164
BoilerNoise-bc0-s2-083;0;0;0;0;0;0;1;287;672;0;0.070967685
BoilerNoise-bc0-s2-084;0;0;0;0;0;0;1;549;672;0;0.009767116
BoilerNoise-bc0-s2-085;0;0;0;0;0;0;1;242;672;0;0.738110044
BoilerNoise-bc0-s2-086;0;0;0;0;0;0;1;149;672;0;0.070336473
BoilerNoise-bc0-s2-087;0;0;0;0;0;0;2;563;672;0;0.12893161
BoilerNoise-bc0-s2-088;0;0;0;0;0;0;2;557;672;0;0.253441519
BoilerNoise-bc0-s2-089;0;0;0;0;0;0;2;547;672;0;0.12447329
BoilerNoise-bc0-s2-090;0;0;0;0;0;0;1;235;672;0;0.063041995
BoilerNoise-bc0-s2-091;0;0;0;0;0;0;2;50;672;0;0.257189196
BoilerNoise-bc0-s2-092;0;0;0;0;0;0;2;327;672;0;0.266043738
BoilerNoise-bc0-s2-093;0;0;0;0;0;0;2;608;672;0;0.260664782
BoilerNoise-bc0-s2-094;0;0;0;0;0;0;2;444;672;0;0.238624964
BoilerNoise-bc0-s2-095;0;0;0;0;0;0;1;410;672;0;0.141749714
BoilerNoise-bc0-s2-096;0;0;0;0;0;0;1;396;672;0;0.48560056
BoilerNoise-bc0-s2-097;0;0;0;0;0;0;2;163;672;0;0.83748982
BoilerNoise-bc0-s2-098;0;0;0;0;0;0;2;637;672;0;0.199205964
BoilerNoise-bc0-s2-099;0;0;0;0;0;0;2;627;672;0;0.221916162
BoilerNoise-bc0-s2-100;0;0;0;0;0;0;1;608;672;0;0.133146676
BoilerNoise-bc0-s3-000;0;1;394;672;0;0.226467183;1;394;672;0;0.226467183
BoilerNoise-bc0-s3-001;0;1;479;672;0;0.030355679;1;479;672;0;0.030355679
BoilerNoise-bc0-s3-002;0;1;637;672;0;0.088789686;1;637;672;0;0.088789686
BoilerNoise-bc0-s3-003;0;2;9;672;0;0.551298263;2;9;672;0;0.551298263
BoilerNoise-bc0-s3-004;0;1;632;672;0;0.34733756;1;632;672;0;0.34733756
BoilerNoise-bc0-s3-005;0;2;147;672;0;0.147074638;2;147;672;0;0.147074638
BoilerNoise-bc0-s3-006;0;2;465;672;0;0.017506267;2;465;672;0;0.017506267
BoilerNoise-bc0-s3-007;0;1;349;672;0;0.005736538;1;349;672;0;0.005736538
BoilerNoise-bc0-s3-008;0;1;308;672;0;0.48244726;1;308;672;0;0.48244726
BoilerNoise-bc0-s3-009;0;1;168;672;0;0.220741114;1;168;672;0;0.220741114
BoilerNoise-bc0-s3-010;0;2;187;672;0;0.333090569;2;187;672;0;0.333090569
BoilerNoise-bc0-s3-011;0;1;352;672;0;0.294319706;1;352;672;0;0.294319706
BoilerNoise-bc0-s3-012;0;2;298;672;0;0.115575997;2;298;672;0;0.115575997
BoilerNoise-bc0-s3-013;0;1;76;672;0;0.001333742;1;76;672;0;0.001333742
BoilerNoise-bc0-s3-014;0;1;211;672;0;0.286778035;1;211;672;0;0.286778035
BoilerNoise-bc0-s3-015;0;1;355;672;0;0.149733562;1;355;672;0;0.149733562
BoilerNoise-bc0-s3-016;0;1;419;672;0;0.778112714;1;419;672;0;0.778112714
BoilerNoise-bc0-s3-017;0;2;586;672;0;0.397429353;2;586;672;0;0.397429353
BoilerNoise-bc0-s3-018;0;1;233;672;0;0.103836347;1;233;672;0;0.103836347
BoilerNoise-bc0-s3-019;0;1;395;672;0;0.205946607;1;395;672;0;0.205946607
BoilerNoise-bc0-s3-020;0;2;531;672;0;0.211273982;2;531;672;0;0.211273982
BoilerNoise-bc0-s3-021;0;2;165;672;0;0.002362182;2;165;672;0;0.002362182
BoilerNoise-bc0-s3-022;0;1;26;672;0;0.122492126;1;26;672;0;0.122492126
BoilerNoise-bc0-s3-023;0;1;178;672;0;0.165338087;1;178;672;0;0.165338087
BoilerNoise-bc0-s3-024;0;2;207;672;0;0.372539536;2;207;672;0;0.372539536
BoilerNoise-bc0-s3-025;0;1;444;672;0;0.085489525;1;444;672;0;0.085489525
BoilerNoise-bc0-s3-026;0;1;73;672;0;0.189476497;1;73;672;0;0.189476497
BoilerNoise-bc0-s3-027;0;2;253;672;0;0.24121935;2;253;672;0;0.24121935
BoilerNoise-bc0-s3-028;0;1;469;672;0;0.35178082;1;469;672;0;0.35178082
BoilerNoise-bc0-s3-029;0;2;524;672;0;0.460382666;2;524;672;0;0.460382666
BoilerNoise-bc0-s3-030;0;2;501;672;0;0.291019112;2;501;672;0;0.291019112
BoilerNoise-bc0-s3-031;0;2;113;672;0;0.051044306;2;113;672;0;0.051044306
BoilerNoise-bc0-s3-032;0;1;87;672;0;0.223338864;1;87;672;0;0.223338864
BoilerNoise-bc0-s3-033;0;1;629;672;0;0.187453806;1;629;672;0;0.187453806
BoilerNoise-bc0-s3-034;0;1;87;672;0;0.087273615;1;87;672;0;0.087273615
BoilerNoise-bc0-s3-035;0;1;1;672;0;0.414295019;1;1;672;0;0.414295019
BoilerNoise-bc0-s3-036;0;1;260;672;0;0.099339841;1;260;672;0;0.099339841
BoilerNoise-bc0-s3-037;0;1;29;672;0;0.403951134;1;29;672;0;0.403951134
BoilerNoise-bc0-s3-038;0;1;391;672;0;0.086780112;1;391;672;0;0.086780112
BoilerNoise-bc0-s3-039;0;2;56;672;0;0.215269309;2;56;672;0;0.215269309
BoilerNoise-bc0-s3-040;0;1;339;672;0;0.160208718;1;339;672;0;0.160208718
BoilerNoise-bc0-s3-041;0;1;438;672;0;0.554106982;1;438;672;0;0.554106982
BoilerNoise-bc0-s3-042;0;2;168;672;0;0.15878246;2;168;672;0;0.15878246
BoilerNoise-bc0-s3-043;0;2;664;672;0;0.136926686;2;664;672;0;0.136926686
BoilerNoise-bc0-s3-044;0;2;432;672;0;0.472264121;2;432;672;0;0.472264121
BoilerNoise-bc0-s3-045;0;1;554;672;0;0.156604295;1;554;672;0;0.156604295
BoilerNoise-bc0-s3-046;0;2;496;672;0;0.386645169;2;496;672;0;0.386645169
BoilerNoise-bc0-s3-047;0;2;519;672;0;0.542157471;2;519;672;0;0.542157471
BoilerNoise-bc0-s3-048;0;1;164;672;0;0.46969943;1;164;672;0;0.46969943
BoilerNoise-bc0-s3-049;0;2;106;672;0;0.37364692;2;106;672;0;0.37364692
BoilerNoise-bc0-s3-050;0;1;499;672;0;0.235236486;1;499;672;0;0.235236486
BoilerNoise-bc0-s3-051;0;2;341;672;0;0.140539333;2;341;672;0;0.140539333
BoilerNoise-bc0-s3-052;0;1;593;672;0;0.218409197;1;593;672;0;0.218409197
BoilerNoise-bc0-s3-053;0;2;601;672;0;0.67091262;2;601;672;0;0.67091262
BoilerNoise-bc0-s3-054;0;2;432;672;0;0.092769228;2;432;672;0;0.092769228
BoilerNoise-bc0-s3-055;0;2;295;672;0;0.289289552;2;295;672;0;0.289289552
BoilerNoise-bc0-s3-056;0;1;397;672;0;0.037892774;1;397;672;0;0.037892774
BoilerNoise-bc0-s3-057;0;1;60;672;0;0.486555614;1;60;672;0;0.486555614
BoilerNoise-bc0-s3-058;0;1;355;672;0;0.070705904;1;355;672;0;0.070705904
BoilerNoise-bc0-s3-059;0;2;282;672;0;0.380453759;2;282;672;0;0.380453759
BoilerNoise-bc0-s3-060;0;2;447;672;0;0.298781397;2;447;672;0;0.298781397
BoilerNoise-bc0-s3-061;0;2;178;672;0;0.083249196;2;178;672;0;0.083249196
BoilerNoise-bc0-s3-062;0;1;561;672;0;0.459470006;1;561;672;0;0.459470006
BoilerNoise-bc0-s3-063;0;1;645;672;0;0.037752299;1;645;672;0;0.037752299
BoilerNoise-bc0-s3-064;0;1;94;672;0;0.007069543;1;94;672;0;0.007069543
BoilerNoise-bc0-s3-065;0;1;661;672;0;0.209338979;1;661;672;0;0.209338979
BoilerNoise-bc0-s3-066;0;1;557;672;0;0.138153699;1;557;672;0;0.138153699
BoilerNoise-bc0-s3-067;0;1;359;672;0;0.112966694;1;359;672;0;0.112966694
BoilerNoise-bc0-s3-068;0;1;316;672;0;0.072623013;1;316;672;0;0.072623013
BoilerNoise-bc0-s3-069;0;2;226;672;0;0.643498548;2;226;672;0;0.643498548
BoilerNoise-bc0-s3-070;0;2;631;672;0;0.249176554;2;631;672;0;0.249176554
BoilerNoise-bc0-s3-071;0;2;337;672;0;0.020840182;2;337;672;0;0.020840182
BoilerNoise-bc0-s3-072;0;2;356;672;0;0.386149589;2;356;672;0;0.386149589
BoilerNoise-bc0-s3-073;0;1;435;672;0;0.653442163;1;435;672;0;0.653442163
BoilerNoise-bc0-s3-074;0;2;67;672;0;0.117789902;2;67;672;0;0.117789902
BoilerNoise-bc0-s3-075;0;2;413;672;0;0.153412463;2;413;672;0;0.153412463
BoilerNoise-bc0-s3-076;0;1;226;672;0;0.503629064;1;226;672;0;0.503629064
BoilerNoise-bc0-s3-077;0;1;263;672;0;0.426171178;1;263;672;0;0.426171178
BoilerNoise-bc0-s3-078;0;1;464;672;0;0.227500631;1;464;672;0;0.227500631
BoilerNoise-bc0-s3-079;0;2;582;672;0;0.209160918;2;582;672;0;0.209160918
BoilerNoise-bc0-s3-080;0;1;147;672;0;0.104437181;1;147;672;0;0.104437181
BoilerNoise-bc0-s3-081;0;1;212;672;0;0.101359921;1;212;672;0;0.101359921
BoilerNoise-bc0-s3-082;0;1;83;672;0;0.268131305;1;83;672;0;0.268131305
BoilerNoise-bc0-s3-083;0;1;534;672;0;0.208384732;1;534;672;0;0.208384732
BoilerNoise-bc0-s3-084;0;2;195;672;0;0.093615397;2;195;672;0;0.093615397
BoilerNoise-bc0-s3-085;0;2;92;672;0;0.020909483;2;92;672;0;0.020909483
BoilerNoise-bc0-s3-086;0;2;534;672;0;0.466637306;2;534;672;0;0.466637306
BoilerNoise-bc0-s3-087;0;1;265;672;0;0.073544386;1;265;672;0;0.073544386
BoilerNoise-bc0-s3-088;0;1;485;672;0;0.137468868;1;485;672;0;0.137468868
BoilerNoise-bc0-s3-089;0;2;507;672;0;0.012512703;2;507;672;0;0.012512703
BoilerNoise-bc0-s3-090;0;1;200;672;0;0.153336567;1;200;672;0;0.153336567
BoilerNoise-bc0-s3-091;0;1;108;672;0;0.134870855;1;108;672;0;0.134870855
BoilerNoise-bc0-s3-092;0;1;409;672;0;0.185175981;1;409;672;0;0.185175981
BoilerNoise-bc0-s3-093;0;2;570;672;0;0.227826607;2;570;672;0;0.227826607
BoilerNoise-bc0-s3-094;0;1;648;672;0;0.24061038;1;648;672;0;0.24061038
BoilerNoise-bc0-s3-095;0;2;496;672;0;0.467492796;2;496;672;0;0.467492796
BoilerNoise-bc0-s3-096;0;1;278;672;0;0.906454263;1;278;672;0;0.906454263
BoilerNoise-bc0-s3-097;0;1;572;672;0;0.162149119;1;572;672;0;0.162149119
BoilerNoise-bc0-s3-098;0;2;132;672;0;0.115694512;2;132;672;0;0.115694512
BoilerNoise-bc0-s3-099;0;1;418;672;0;0.019832926;1;418;672;0;0.019832926
BoilerNoise-bc1-s0-000;1;0;0;0;0;0;0;0;0;0;0
BoilerNoise-bc1-s1-000;1;1;113;672;0;0.412647801;0;0;0;0;0
BoilerNoise-bc1-s1-001;1;2;279;672;0;0.416171201;0;0;0;0;0
BoilerNoise-bc1-s1-002;1;2;430;672;0;0.098060315;0;0;0;0;0
BoilerNoise-bc1-s1-003;1;2;131;672;0;0.054898061;0;0;0;0;0
BoilerNoise-bc1-s1-004;1;1;106;672;0;0.060644368;0;0;0;0;0
BoilerNoise-bc1-s1-005;1;2;287;672;0;0.041087144;0;0;0;0;0
BoilerNoise-bc1-s1-006;1;1;95;672;0;0.799785099;0;0;0;0;0
BoilerNoise-bc1-s1-007;1;2;560;672;0;0.148785476;0;0;0;0;0
BoilerNoise-bc1-s1-008;1;2;220;672;0;0.135860728;0;0;0;0;0
