id,bc,eta_f_type,eta_f_start,eta_f_stop,eta_f_init,eta_f_final,G_f_type,G_f_start,G_f_stop,G_f_init,G_f_final
BoilerVarSize3-bc01-s1-085,1,1,641,672,0,0.05,0,0,0,0,0
BoilerVarSize3-bc01-s1-039,1,1,613,672,0,0.19,0,0,0,0,0
BoilerVarSize3-bc02-s0-000,2,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc02-s1-017,2,1,125,672,0,0.08,0,0,0,0,0
BoilerVarSize3-bc02-s1-056,2,1,123,672,0,0.32,0,0,0,0,0
BoilerVarSize3-bc02-s1-069,2,1,109,672,0,0.14,0,0,0,0,0
BoilerVarSize3-bc02-s1-043,2,2,87,672,0,0.07,0,0,0,0,0
BoilerVarSize3-bc02-s1-049,2,2,104,672,0,0.37,0,0,0,0,0
BoilerVarSize3-bc02-s1-008,2,2,84,672,0,0.38,0,0,0,0,0
BoilerVarSize3-bc02-s1-081,2,1,176,672,0,0.15,0,0,0,0,0
BoilerVarSize3-bc02-s1-010,2,2,177,672,0,0.16,0,0,0,0,0
BoilerVarSize3-bc02-s1-068,2,2,257,672,0,0.28,0,0,0,0,0
BoilerVarSize3-bc02-s1-011,2,1,197,672,0,0.65,0,0,0,0,0
BoilerVarSize3-bc02-s1-002,2,1,261,672,0,0.16,0,0,0,0,0
BoilerVarSize3-bc02-s1-077,2,1,227,672,0,0.09,0,0,0,0,0
BoilerVarSize3-bc02-s1-085,2,2,374,672,0,0.09,0,0,0,0,0
BoilerVarSize3-bc02-s1-016,2,1,494,672,0,0.4,0,0,0,0,0
BoilerVarSize3-bc02-s1-006,2,2,467,672,0,0.01,0,0,0,0,0
BoilerVarSize3-bc02-s1-040,2,1,366,672,0,0.27,0,0,0,0,0
BoilerVarSize3-bc02-s1-021,2,2,396,672,0,0.36,0,0,0,0,0
BoilerVarSize3-bc02-s1-020,2,2,410,672,0,0.11,0,0,0,0,0
BoilerVarSize3-bc02-s1-092,2,1,539,672,0,0.04,0,0,0,0,0
BoilerVarSize3-bc02-s1-032,2,2,525,672,0,0.5,0,0,0,0,0
BoilerVarSize3-bc02-s1-067,2,2,596,672,0,0.12,0,0,0,0,0
BoilerVarSize3-bc02-s1-019,2,1,637,672,0,0.19,0,0,0,0,0
BoilerVarSize3-bc02-s1-065,2,1,585,672,0,0.53,0,0,0,0,0
BoilerVarSize3-bc02-s1-050,2,2,647,672,0,0.45,0,0,0,0,0
BoilerVarSize3-bc03-s0-000,3,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc03-s1-083,3,2,133,672,0,0.08,0,0,0,0,0
BoilerVarSize3-bc03-s1-037,3,2,92,672,0,0.37,0,0,0,0,0
BoilerVarSize3-bc03-s1-090,3,2,63,672,0,0.11,0,0,0,0,0
BoilerVarSize3-bc03-s1-061,3,1,91,672,0,0.08,0,0,0,0,0
BoilerVarSize3-bc03-s1-077,3,2,32,672,0,0.43,0,0,0,0,0
BoilerVarSize3-bc03-s1-033,3,1,82,672,0,0.33,0,0,0,0,0
BoilerVarSize3-bc03-s1-087,3,1,306,672,0,0.63,0,0,0,0,0
BoilerVarSize3-bc03-s1-025,3,2,195,672,0,0.06,0,0,0,0,0
BoilerVarSize3-bc03-s1-011,3,1,261,672,0,0.3,0,0,0,0,0
BoilerVarSize3-bc03-s1-049,3,2,211,672,0,0.26,0,0,0,0,0
BoilerVarSize3-bc03-s1-015,3,1,310,672,0,0.61,0,0,0,0,0
BoilerVarSize3-bc03-s1-096,3,1,278,672,0,0.04,0,0,0,0,0
BoilerVarSize3-bc03-s1-032,3,1,447,672,0,0.11,0,0,0,0,0
BoilerVarSize3-bc03-s1-007,3,2,354,672,0,0.11,0,0,0,0,0
BoilerVarSize3-bc03-s1-050,3,2,493,672,0,0.28,0,0,0,0,0
BoilerVarSize3-bc03-s1-066,3,1,482,672,0,0.09,0,0,0,0,0
BoilerVarSize3-bc03-s1-091,3,1,484,672,0,0.31,0,0,0,0,0
BoilerVarSize3-bc03-s1-052,3,1,342,672,0,0.24,0,0,0,0,0
BoilerVarSize3-bc03-s1-023,3,1,604,672,0,0.07,0,0,0,0,0
BoilerVarSize3-bc03-s1-014,3,2,658,672,0,0.22,0,0,0,0,0
BoilerVarSize3-bc03-s1-018,3,1,571,672,0,0.18,0,0,0,0,0
BoilerVarSize3-bc03-s1-009,3,2,516,672,0,0.06,0,0,0,0,0
BoilerVarSize3-bc03-s1-034,3,2,556,672,0,0.3,0,0,0,0,0
BoilerVarSize3-bc03-s1-072,3,1,627,672,0,0.23,0,0,0,0,0
BoilerVarSize3-bc04-s0-000,4,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc04-s1-012,4,1,35,672,0,0.31,0,0,0,0,0
BoilerVarSize3-bc04-s1-087,4,2,136,672,0,0.03,0,0,0,0,0
BoilerVarSize3-bc04-s1-070,4,2,8,672,0,0.08,0,0,0,0,0
BoilerVarSize3-bc04-s1-053,4,2,19,672,0,0.73,0,0,0,0,0
BoilerVarSize3-bc04-s1-091,4,2,67,672,0,0.29,0,0,0,0,0
BoilerVarSize3-bc04-s1-064,4,1,104,672,0,0.05,0,0,0,0,0
BoilerVarSize3-bc04-s1-010,4,2,226,672,0,0.16,0,0,0,0,0
BoilerVarSize3-bc04-s1-060,4,2,330,672,0,0.32,0,0,0,0,0
BoilerVarSize3-bc04-s1-061,4,1,296,672,0,0.03,0,0,0,0,0
BoilerVarSize3-bc04-s1-045,4,1,319,672,0,0.02,0,0,0,0,0
BoilerVarSize3-bc04-s1-027,4,2,295,672,0,0.12,0,0,0,0,0
BoilerVarSize3-bc04-s1-024,4,2,262,672,0,0.48,0,0,0,0,0
BoilerVarSize3-bc04-s1-048,4,2,378,672,0,0.3,0,0,0,0,0
BoilerVarSize3-bc04-s1-034,4,2,466,672,0,0.09,0,0,0,0,0
BoilerVarSize3-bc04-s1-036,4,1,401,672,0,0.71,0,0,0,0,0
BoilerVarSize3-bc04-s1-069,4,2,445,672,0,0.31,0,0,0,0,0
BoilerVarSize3-bc04-s1-058,4,1,438,672,0,0.02,0,0,0,0,0
BoilerVarSize3-bc04-s1-041,4,1,483,672,0,0.5,0,0,0,0,0
BoilerVarSize3-bc04-s1-082,4,1,535,672,0,0.05,0,0,0,0,0
BoilerVarSize3-bc04-s1-001,4,1,517,672,0,0.2,0,0,0,0,0
BoilerVarSize3-bc04-s1-020,4,2,640,672,0,0.59,0,0,0,0,0
BoilerVarSize3-bc04-s1-075,4,1,585,672,0,0.25,0,0,0,0,0
BoilerVarSize3-bc04-s1-003,4,1,631,672,0,0.23,0,0,0,0,0
BoilerVarSize3-bc04-s1-052,4,1,645,672,0,0.03,0,0,0,0,0
